record_id,record_source,accident_date,accident_date_raw,accident_time,aircraft_type,owner_operator,registration,msn,year_of_manufacture,engine_model,fatalities,occupants,other_fatalities,aircraft_damage,category,location,phase,nature,departure_airport,destination_airport,investigating_agency,confidence_rating,url,data_year
188557,wikibase,2000-04-02,Sunday 2 April 2000,21:39,Boeing 747-244B,South African Airways - SAA,ZS-SAL,20237/154,1971,Pratt and Whitney JT9D-7J,0,,0,Substantial,Accident,London Heathrow Airport (LHR/EGLL) -United Kingdom,Taxi,Passenger - Scheduled,London Heathrow Airport (LHR/EGLL),"Johannesburg, South Africa (JNB/FAOR)",AAIB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/188557,2000
188561,wikibase,2000-05-06,Saturday 6 May 2000,11:44,British Aerospace BAe-146-300,Jersey European Airways,G-JEBE,E3206,1991,Lycoming ALF 502-R5,0,110,0,Substantial,Accident,Birmingham International Airport (BHX/EGBB) -United Kingdom,Taxi,Passenger - Scheduled,Birmingham International Airport (BHX/EGBB),,AAIB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/188561,2000
188583,wikibase,2000-06-12,Monday 12 June 2000,12:00,Boeing 747-246B,Air Atlanta Icelandic,TF-ATB,19824/122,1971,,0,3,0,Substantial,Accident,"Between Luxembourg Airport and Manston Airport, Manston, Kent -United Kingdom",Initial climb,Ferry/positioning,Luxembourg Findel Airport (LUX/ELLX),Manston Kent (MSE/EGMH),AAIB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/188583,2000
188623,wikibase,2000-10-01,Sunday 1 October 2000,18:58,McDonnell Douglas DC-10-30,Gemini Air Cargo,N601GC,47921/117,1973,General Electric CF6-50C2,0,5,0,Substantial,Accident,Shannon Airport (SNN/EINN) -Ireland,Take off,Cargo,Shannon Airport (SNN/EINN),"Luis Muñoz Marín International Airport, San Juan, Puerto Rico (SJU/TJS",AAIB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/188623,2000
188624,wikibase,2000-10-10,Tuesday 10 October 2000,18:29,Boeing 767-304ER,Britannia Airways,G-OBYA,28039/610,1996,General Electric CF6-80C2B7F,0,165,0,Substantial,Accident,"Runway 26L, London-Gatwick Airport, Horley, Surrey -United Kingdom",Approach,Passenger - Scheduled,Manchester International Airport (MAN/EGCC),London-Gatwick Airport (LGW/EGKK),AAIB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/188624,2000
190686,wikibase,2000-11-20,Monday 20 November 2000,12:22,Airbus A300B4-605R,American Airlines,N14056,463,1988,General Electric CF6-80C2A5,1,133,0,Minor,Accident,"Miami International Airport, FL (MIA/KMIA) -United States of America",Standing,Passenger - Scheduled,"Miami International Airport, FL (MIA/KMIA)","Port Au Prince,  (MTPP)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/190686,2000
194159,wikibase,2000-05-16,Tuesday 16 May 2000,,British Aerospace ATP,British Regional Airlines,G-MANJ,2004,1987,Pratt & Whitney Canada PW-126,0,48,0,Substantial,Accident,Liverpool Airport -United Kingdom,Landing,Passenger - Scheduled,Manchester International Airport (MAN/EGCC),Belfast International Airport,AAIB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/194159,2000
20000103-0,record_php,2000-01-03,Monday 3 January 2000,,Beechcraft 200 Super King Air,Kalahari Air Services & Charter,A2-AEZ,BB-421,1978,,,,0,"Destroyed, written off",UK,unknown location -Unknown country,Unknown,Unknown,,,,Little or no information is available,https://asn.flightsafety.org/database/record.php?id=20000103-0,2000
20000105-0,record_php,2000-01-05,Wednesday 5 January 2000,13:25,Embraer EMB-110P1A Bandeirante,Skypower Express Airways,5N-AXL,110455,1984,Pratt & Whitney Canada PT6A-34,1,13,1,"Destroyed, written off",Accident,Abuja International Airport (ABV) -Nigeria,Approach,Passenger - Scheduled,Lagos-Murtala Muhammed International Airport (LOS/DNMM),Abuja International Airport (ABV/DNAA),,Information verified through data from accident investigation authorities,https://asn.flightsafety.org/database/record.php?id=20000105-0,2000
20000107-0,record_php,2000-01-07,Friday 7 January 2000,,Antonov An-26,Unknown,D2-FBR,7206,1978,Ivchenko AI-24,,8,0,"Aircraft missing, written off",Accident,-Angola,Unknown,Cargo,Luanda-4 de Fevereiro Airport (LAD/FNLU),Cafunfo Airport (CFF/FNCF),,,https://asn.flightsafety.org/database/record.php?id=20000107-0,2000
