as_of_date,item_code,extended_item_code,description,category,size,size_ml,proof,age,age_months,country_of_origin,container_type,container_count,bottles_per_case,price_per_bottle,price_per_case,price_per_oz,price_change,item_status,item_status_code,oregon_product,new_item,special_pricing
2026-08-01,0103B,99900010375,BALVENIE CARIBBEAN CASK 14YR SINGLE MALT,SCOTCH,750 ML,750,86.0,14 YRS,168,Scotland,Bottle,1,6,91.95,551.7,3.62,12.0,Regular,R,False,False,False
2026-08-01,0103D,99900010320,BALVENIE CARIBBEAN CASK 14YR SINGLE MALT,SCOTCH,200 ML,200,86.0,14 YRS,168,Scotland,Bottle,1,12,24.95,299.4,3.67,0.0,One Time Buy,O,False,False,False
2026-08-01,0108B,99900010875,WEBFOOT VODKA,VODKA,750 ML,750,80.0,,,United States,Bottle,1,12,19.95,239.4,0.79,0.0,Regular,R,True,False,False
2026-08-01,0109B,99900010975,SLAPTAIL VODKA,VODKA,750 ML,750,80.0,,,United States,Bottle,1,12,19.95,239.4,0.79,0.0,Regular,R,True,False,False
2026-08-01,0114B,99900011475,CHOPIN RYE POLISH VODKA,VODKA,750 ML,750,80.0,,,Poland,Bottle,1,6,29.95,179.7,1.18,4.0,Trial Listing,T,False,False,False
2026-08-01,0120B,99900012075,IL TRAMONTO LIMONCELLO,CORDIALS,750 ML,750,60.0,,,Italy,Bottle,1,6,16.95,101.7,0.67,-2.0,Trial Listing,T,False,False,True
2026-08-01,0129B,99900012975,OLD GRAND DAD,DOMESTIC WHISKEY,750 ML,750,100.0,4 YRS,48,United States,Bottle,1,12,22.95,275.4,0.9,-2.0,Regular,R,False,False,False
2026-08-01,0132B,99900013275,EZRA BROOKS,DOMESTIC WHISKEY,750 ML,750,90.0,4 YRS,48,United States,Bottle,1,12,14.95,179.4,0.59,0.0,Trial Listing,T,False,False,False
2026-08-01,0132E,99900013237,EZRA BROOKS,DOMESTIC WHISKEY,375 ML,375,90.0,4 YRS,48,United States,Bottle,1,24,8.95,214.8,0.7,0.0,Trial Listing,T,False,False,False
2026-08-01,0132F,99900013205,EZRA BROOKS,DOMESTIC WHISKEY,50 ML,50,90.0,4 YRS,48,United States,Bottle,1,120,2.0,240.0,1.18,0.0,Trial Listing,T,False,False,False
2026-08-01,0132H,99900013217,EZRA BROOKS,DOMESTIC WHISKEY,1.75 L,1750,90.0,4 YRS,48,United States,Bottle,1,6,29.95,179.7,0.51,2.0,Limited Listing,L,False,False,False
2026-08-01,0133B,99900013375,JIM BEAM BLACK,DOMESTIC WHISKEY,750 ML,750,90.0,8 YRS,96,United States,Bottle,1,12,21.95,263.4,0.86,-5.0,Regular,R,False,False,False
2026-08-01,0133H,99900013317,JIM BEAM BLACK,DOMESTIC WHISKEY,1.75 L,1750,90.0,8 YRS,96,United States,Bottle,1,6,49.95,299.7,0.84,4.0,Regular,R,False,False,False
2026-08-01,0134B,99900013475,RUSSELLS RESERVE 10 YEAR OLD BOURBON,DOMESTIC WHISKEY,750 ML,750,90.0,10 YRS,120,United States,Bottle,1,6,49.95,299.7,1.97,0.0,Regular,R,False,False,False
2026-08-01,0136A,99900013610,EVAN WILLIAMS BLK LABEL,DOMESTIC WHISKEY,LITER,1000,86.0,,,United States,Bottle,1,12,17.95,215.4,0.53,0.0,Regular,R,False,False,False
2026-08-01,0136B,99900013675,EVAN WILLIAMS BLK LABEL,DOMESTIC WHISKEY,750 ML,750,86.0,,,United States,Bottle,1,12,14.95,179.4,0.59,0.0,Regular,R,False,False,False
2026-08-01,0136E,99900013637,EVAN WILLIAMS BLK LABEL,DOMESTIC WHISKEY,375 ML,375,86.0,,,United States,Bottle,1,24,8.95,214.8,0.7,-1.0,Regular,R,False,False,False
2026-08-01,0136F,99900013605,EVAN WILLIAMS BLK LABEL,DOMESTIC WHISKEY,50 ML,50,86.0,,,United States,Bottle,1,120,2.0,240.0,1.18,0.0,Trial Listing,T,False,False,False
2026-08-01,0136H,99900013617,EVAN WILLIAMS BLK LABEL,DOMESTIC WHISKEY,1.75 L,1750,86.0,,,United States,Bottle,1,6,34.95,209.7,0.59,3.0,Regular,R,False,False,False
2026-08-01,0137B,99900013775,EVAN WILLIAMS BLACK LABEL,DOMESTIC WHISKEY,750 ML,750,86.0,,,United States,Bottle,1,12,14.95,179.4,0.59,0.0,Regular,R,False,False,False
2026-08-01,0138B,99900013875,ELIJAH CRAIG SMALL BATCH 94 PROOF,DOMESTIC WHISKEY,750 ML,750,94.0,12 YRS,144,United States,Bottle,1,12,34.95,419.4,1.38,7.0,Regular,R,False,False,False
2026-08-01,0138E,99900013837,ELIJAH CRAIG SMALL BATCH 94 PROOF,DOMESTIC WHISKEY,375 ML,375,94.0,12 YRS,144,United States,Bottle,1,12,18.95,227.4,1.49,4.0,Regular,R,False,False,False
2026-08-01,0138H,99900013817,ELIJAH CRAIG SMALL BATCH 94 PROOF,DOMESTIC WHISKEY,1.75 L,1750,94.0,12 YRS,144,United States,Bottle,1,6,54.95,329.7,0.93,-10.0,Regular,R,False,False,False
2026-08-01,0139B,99900013975,WOODFORD RESERVE DISTILLER SELECT,DOMESTIC WHISKEY,750 ML,750,90.4,,,United States,Bottle,1,12,39.95,479.4,1.57,5.0,Regular,R,False,False,False
2026-08-01,0139E,99900013937,WOODFORD RESERVE DISTILLER SELECT,DOMESTIC WHISKEY,375 ML,375,90.4,,,United States,Bottle,1,12,20.95,251.4,1.65,0.0,Regular,R,False,False,False
2026-08-01,0139H,99900013917,WOODFORD RESERVE DISTILLER SELECT,DOMESTIC WHISKEY,1.75 L,1750,90.4,,,United States,Bottle,1,6,69.95,419.7,1.18,-5.0,Regular,R,False,False,False
2026-08-01,0140A,99900014010,JIM BEAM,DOMESTIC WHISKEY,LITER,1000,80.0,4 YRS,48,United States,Bottle,1,12,21.95,263.4,0.65,0.0,Regular,R,False,False,False
2026-08-01,0140B,99900014075,JIM BEAM,DOMESTIC WHISKEY,750 ML,750,80.0,4 YRS,48,United States,Bottle,1,12,16.95,203.4,0.67,-1.0,Regular,R,False,False,False
2026-08-01,0140D,99900014020,JIM BEAM,DOMESTIC WHISKEY,200 ML,200,80.0,4 YRS,48,United States,Bottle,1,48,6.95,333.6,1.02,0.0,Regular,R,False,False,False
2026-08-01,0140E,99900014037,JIM BEAM,DOMESTIC WHISKEY,375 ML,375,80.0,4 YRS,48,United States,Bottle,1,24,10.95,262.8,0.86,-1.0,Regular,R,False,False,False
2026-08-01,0140F,99900014005,JIM BEAM,DOMESTIC WHISKEY,50 ML,50,80.0,4 YRS,48,United States,Bottle,1,120,2.25,270.0,1.32,0.0,Regular,R,False,False,False
2026-08-01,0140H,99900014017,JIM BEAM,DOMESTIC WHISKEY,1.75 L,1750,80.0,4 YRS,48,United States,Bottle,1,6,39.95,239.7,0.67,5.0,Regular,R,False,False,False
2026-08-01,0141B,99900014175,JIM BEAM LT. WGT.,DOMESTIC WHISKEY,750 ML,750,80.0,4 YRS,48,United States,Bottle,1,12,16.95,203.4,0.67,-1.0,Regular,R,False,False,False
