registry_number,business_name,entity_type,registry_date,nonprofit_type,address_type,address,address_continued,city,state,zip_code
299818,"UNITED METHODIST CHURCH, OREGON CITY, OREGON",DOMESTIC NONPROFIT CORPORATION,1850-05-17,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,18955 S SOUTH END RD,,OREGON CITY,OR,97045
574418,WILLAMETTE UNIVERSITY,DOMESTIC NONPROFIT CORPORATION,1853-01-20,PUBLIC BENEFIT,MAILING ADDRESS,900 STATE ST,,SALEM,OR,97301
74612087,PACIFIC UNIVERSITY,DOMESTIC NONPROFIT CORPORATION,1854-01-10,PUBLIC BENEFIT,MAILING ADDRESS,2043 COLLEGE WAY,,FOREST GROVE,OR,97116
4327011,GRAND LODGE OF ANCIENT FREE AND ACCEPTED MASONS OF OREGON,DOMESTIC NONPROFIT CORPORATION,1857-01-01,MUTUAL BENEFIT WITH MEMBERS,MAILING ADDRESS,2150 MASONIC WAY,,FOREST GROVE,OR,97116
4336319,GRAND LODGE OF OREGON I.O.O.F.,DOMESTIC NONPROFIT CORPORATION,1857-01-01,PUBLIC BENEFIT,MAILING ADDRESS,3202 SE HOLGATE BLVD,,PORTLAND,OR,97202
4233110,CONGREGATION BETH ISRAEL,DOMESTIC NONPROFIT CORPORATION,1859-01-21,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,1972 NW FLANDERS STREET,,PORTLAND,OR,97209
179713,THE FIRST PRESBYTERIAN CHURCH OF PORTLAND,DOMESTIC NONPROFIT CORPORATION,1865-10-23,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,1200 SW ALDER ST,,PORTLAND,OR,97205
179812,"FIRST UNITARIAN CHURCH OF PORTLAND, OREGON",DOMESTIC NONPROFIT CORPORATION,1866-07-18,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,1034 SW 13TH AVE,,PORTLAND,OR,97205
486811,"SPENCER BUTTE LODGE NO. 9, INDEPENDENT ORDER OF ODD FELLOWS",DOMESTIC NONPROFIT CORPORATION,1866-09-05,PUBLIC BENEFIT WITH MEMBERS,MAILING ADDRESS,1233 CHARNELTON ST,,EUGENE,OR,97404
414,LEWIS & CLARK COLLEGE,DOMESTIC NONPROFIT CORPORATION,1867-02-02,PUBLIC BENEFIT,MAILING ADDRESS,615 S PALATINE HILL ROAD MSC 33,,PORTLAND,OR,97219
552315,WASCO LODGE # 15 A.F. & A.M.,DOMESTIC NONPROFIT CORPORATION,1867-03-25,PUBLIC BENEFIT WITH MEMBERS,MAILING ADDRESS,P O BOX 172,,THE DALLES,OR,97058
179911,"FIRST BAPTIST CHURCH, A CORPORATION, OF PORTLAND, OREGON",DOMESTIC NONPROFIT CORPORATION,1867-04-04,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,909 SW 11TH AVE,,PORTLAND,OR,97205
180018,"UNITED CHURCH OF CHRIST, CONGREGATIONAL, OF THE DALLES, OREGON",DOMESTIC NONPROFIT CORPORATION,1867-04-24,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,111 E 5TH ST,,THE DALLES,OR,97058
180117,"FIRST UNITED METHODIST CHURCH OF PORTLAND, OREGON",DOMESTIC NONPROFIT CORPORATION,1867-06-02,RELIGIOUS,MAILING ADDRESS,1838 SW JEFFERSON ST,,PORTLAND,OR,97201
297812,LAKE OSWEGO UNITED METHODIST CHURCH,DOMESTIC NONPROFIT CORPORATION,1867-07-01,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,1855 SOUTH SHORE BLVD,,LAKE OSWEGO,OR,97034
