neighborhood,month_start,cleanup_incidents,ordinance_reports,cars_contacted,cars_cleaned,rvs_contacted,rvs_cleaned,tents_contacted,tents_cleaned,people_contacted,shelter_offered,shelter_accepted,warnings_issued,arrests_camping_only,cites_camping_only,arrests_camping_other,cites_camping_other,arrests_other,cites_other,warrants_failure_to_appear,warrants_property_crime,warrants_person_crime,warrants_probation_violations,warrants_drug_crime,warrants_other
Buckman West,2025-11-01,12,2,0,0,0,0,5,5,5,3,1,2,0,6,0,0,24,0,0,4,0,1,0,2
Old Town/Chinatown,2025-11-01,11,2,0,0,0,0,5,5,5,4,2,0,0,4,0,0,10,0,1,0,0,0,0,0
Hazelwood,2025-11-01,9,2,1,1,0,0,4,1,4,3,0,4,0,0,0,0,9,2,0,1,0,0,0,0
Hosford-Abernethy,2025-11-01,4,2,0,0,0,0,9,9,7,7,7,2,0,2,0,0,2,2,2,0,0,0,0,0
Mill Park,2025-11-01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Centennial,2025-11-01,3,3,2,2,1,1,3,3,9,7,3,7,0,0,0,0,1,0,0,0,0,1,0,0
Montavilla,2025-11-01,3,3,2,2,2,2,0,0,6,3,2,6,0,0,0,0,0,0,0,0,0,0,0,0
Parkrose,2025-11-01,3,3,1,2,4,3,0,0,6,6,2,4,0,1,0,0,0,0,0,0,0,0,0,0
Cully,2025-11-01,2,2,2,3,5,4,0,0,6,6,0,6,0,0,0,0,0,0,0,0,0,0,0,1
Downtown,2025-11-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
East Columbia,2025-11-01,2,2,1,1,2,1,3,3,7,7,2,6,0,1,0,0,0,0,0,0,0,0,0,0
Kerns,2025-11-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Lents,2025-11-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Overlook,2025-11-01,2,1,0,0,0,0,7,7,7,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Parkrose Heights,2025-11-01,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
Pearl,2025-11-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
