case_number,report_date,report_month_year,occur_date,occur_time,address,neighborhood,council_district,custom_crime_against,custom_crime_category,crime_against,offense_category,offense_type,offense_count,lat,lon,x_coord,y_coord,data_year
26-100057,4/7/2026,April 2026,4/7/2026,2100,9900 BLOCK OF N WHITAKER RD,East Columbia,2,Property,Robbery,Property,Robbery,Robbery,1,45.594663259,-122.682422444,7643524,710447,2026
26-100087,4/7/2026,April 2026,4/7/2026,2247,SW 10TH AVE / SW MORRISON ST,Downtown,4,Person,Assault: Aggravated,Person,Assault Offenses,Aggravated Assault,1,45.520009204,-122.682101612,7642871,683235,2026
26-100092,4/7/2026,April 2026,4/4/2026,2230,5300 BLOCK OF SE 87TH AVE,Lents,1,Property,Motor Vehicle Theft,Property,Motor Vehicle Theft,Motor Vehicle Theft,1,45.484104770,-122.573602165,7670335,669416,2026
26-100192,4/8/2026,April 2026,4/7/2026,1600,5300 BLOCK OF N LOMBARD ST,Portsmouth,2,Property,Larceny: Other,Property,Larceny Offenses,Theft From Building,1,45.582625689,-122.724314038,7632684,706352,2026
26-100199,4/8/2026,April 2026,4/8/2026,232,SE POWELL BLVD / SE MILWAUKIE AVE,Hosford-Abernethy,3,Society,Weapon Law Violations,Society,Weapon Law Violations,Weapons Law Violations,1,45.501154233,-122.654214175,7649833,676171,2026
26-100203,4/8/2026,April 2026,4/8/2026,216,NE 16TH AVE / NE KILLINGSWORTH ST,Vernon,2,Person,Assault: Simple/Intimidation,Person,Assault Offenses,Simple Assault,1,45.562716499,-122.649060175,7651751,698574,2026
26-100205,4/8/2026,April 2026,4/8/2026,224,1500 BLOCK OF SE MORRISON ST,Buckman East,3,Property,Burglary,Property,Burglary,Burglary,1,45.517235179,-122.650094163,7651045,682004,2026
26-100213,4/8/2026,April 2026,4/8/2026,232,10000 BLOCK OF NE 13TH AVE,East Columbia,2,Property,Larceny: Car Prowl - Other,Property,Larceny Offenses,Theft From Motor Vehicle,1,45.595302430,-122.651838845,7651356,710470,2026
26-100251,4/8/2026,April 2026,4/8/2026,419,4000 BLOCK OF NE 125TH PL,Argay,1,Property,Motor Vehicle Theft,Property,Motor Vehicle Theft,Motor Vehicle Theft,1,45.552160891,-122.534664838,7680943,693968,2026
26-100261,4/8/2026,April 2026,4/7/2026,2100,11900 BLOCK OF NE DAVIS ST,Hazelwood,1,Property,Motor Vehicle Theft,Property,Motor Vehicle Theft,Motor Vehicle Theft,1,45.524093647,-122.539513579,7679443,683769,2026
26-100262,4/8/2026,April 2026,4/8/2026,400,1200 BLOCK OF NW NAITO PKWY,Pearl,4,Property,Larceny: Car Prowl - Other,Property,Larceny Offenses,Theft From Motor Vehicle,1,45.532041488,-122.678273888,7643970,687594,2026
26-100281,4/8/2026,April 2026,4/8/2026,534,2200 BLOCK OF NE 81ST AVE,Madison South,3,Property,Motor Vehicle Theft,Property,Motor Vehicle Theft,Motor Vehicle Theft,1,45.538616718,-122.579848971,7669245,689326,2026
26-100305,4/8/2026,April 2026,4/8/2026,659,15000 BLOCK OF SE STARK ST,Glenfair,1,Property,Vandalism,Property,Vandalism,Vandalism,1,45.519198568,-122.508553431,7687331,681786,2026
26-100314,4/8/2026,April 2026,4/8/2026,744,10000 BLOCK OF NE 13TH AVE,East Columbia,2,Person,Assault: Simple/Intimidation,Person,Assault Offenses,Simple Assault,1,45.595300093,-122.651963815,7651324,710470,2026
26-100320,4/8/2026,April 2026,4/8/2026,720,15000 BLOCK OF SE STARK ST,Glenfair,1,Property,Motor Vehicle Theft,Property,Motor Vehicle Theft,Motor Vehicle Theft,1,45.519198568,-122.508553431,7687331,681786,2026
26-100323,4/8/2026,April 2026,4/8/2026,312,4300 BLOCK OF NE DAVIS ST,Laurelhurst,3,Property,Motor Vehicle Theft,Property,Motor Vehicle Theft,Motor Vehicle Theft,1,45.524857091,-122.618033044,7659333,684565,2026
26-10033,1/11/2026,January 2026,1/10/2026,1521,14300 BLOCK OF SE DIVISION ST,Centennial,1,Person,Assault: Aggravated,Person,Assault Offenses,Aggravated Assault,1,45.504045483,-122.515477480,7685419,676307,2026
