venue_slug,artist_name,event_date,doors_time,show_time,ticket_url,poster_url,is_low_value
crystal-ballroom,2nd Dry January Fest,2027-01-02,,11:00:00,https://www.crystalballroompdx.com/events/273672-2nd-dry-january-fest/,https://www.crystalballroompdx.com/wp-content/uploads/2026/09/DryJanuary25-kPybgh.jpg,False
wonder-ballroom,Anna von Hausswolff: Iconoclasts Tour,2027-01-11,19:00:00,20:00:00,https://wonderballroom.com/event/anna-von-hausswolff-iconoclasts-tour/wonder-ballroom/portland-oregon/,https://wonderballroom.com/wp-content/uploads/2026/03/anna-von-hausswolff.jfif,False
aladdin-theater,Five For Fighting with String Quartet,2027-01-14,19:00:00,20:00:00,https://www.etix.com/ticket/p/93170768/five-for-fighting-with-string-quartet-portland-aladdin-theater,https://cdn.etix.com/etix/performance-image/performance_image_1200w/d42c698ba0915c9660c3e7fab7e2daf3.jpg,False
polaris-hall,The Magic Of 7,2027-01-19,18:00:00,19:00:00,https://www.etix.com/ticket/p/83449465/the-magic-of-7-portland-polaris-hall,https://cdn.etix.com/etix/performance-image/performance_image_1200w/bbd83c6829a22970865fa9c494efd80b.jpg,False
crystal-ballroom,Fruition,2027-01-28,,20:00:00,https://www.crystalballroompdx.com/events/278536-fruition/,https://www.crystalballroompdx.com/wp-content/uploads/2026/08/Fruition_26-1a54D0.jpg,False
holocene,Madds Buckley 2026/2027 North American Tour – All Ages,2027-01-28,19:00:00,,https://www.holocene.org/event/madds-buckley-2026-2027-north-american-tour-all-ages/holocene/portland/,,False
crystal-ballroom,Portland's Folk Festival,2027-01-29,,18:00:00,https://www.crystalballroompdx.com/events/276751-portlands-folk-festival/,https://www.crystalballroompdx.com/wp-content/uploads/2026/05/FolkFest27-mtrQyx.jpg,False
aladdin-theater,"Bonnie ""Prince"" Billy (Night 1)",2027-01-30,19:00:00,20:00:00,https://www.etix.com/ticket/p/68309465/bonnie-princebilly-night-1-portland-aladdin-theater,https://cdn.etix.com/etix/performance-image/performance_image_1200w/809937b970c6d9a9d6d1016804be7270.jpg,False
crystal-ballroom,Portland's Folk Festival,2027-01-30,,15:00:00,https://www.crystalballroompdx.com/events/276749-portlands-folk-festival/,https://www.crystalballroompdx.com/wp-content/uploads/2026/05/FolkFest27-mtrQyx.jpg,False
aladdin-theater,"Bonnie ""Prince"" Billy (Night 2)",2027-01-31,19:00:00,20:00:00,https://www.etix.com/ticket/p/66870556/bonnie-princebilly-night-2-portland-aladdin-theater,https://cdn.etix.com/etix/performance-image/performance_image_1200w/809937b970c6d9a9d6d1016804be7270.jpg,False
wonder-ballroom,*POSTPONED until TBD* The Residents – Eskimo Live! Tour,2027-01-31,19:00:00,20:00:00,https://wonderballroom.com/event/postponed-until-tbd-the-residents-eskimo-live-tour/wonder-ballroom/portland-oregon/,https://wonderballroom.com/wp-content/uploads/2025/09/etix-The_1263221759236747.jfif,False
aladdin-theater,Science on Tap: The Counting of Crows,2027-02-02,18:00:00,19:00:00,https://www.etix.com/ticket/p/55592168/science-on-tapthe-counting-of-crows-portland-aladdin-theater,https://cdn.etix.com/etix/performance-image/performance_image_1200w/d26c306de907e28c1d1b6804b308c299.jpg,False
aladdin-theater,"Legends: Keola Beamer & Henry Kapono, with Moanalani Beamer, hula",2027-02-05,19:00:00,20:00:00,https://www.etix.com/ticket/p/97553913/legendskeola-beamer-henry-kaponowith-moanalani-beamerhula-portland-aladdin-theater,https://cdn.etix.com/etix/performance-image/performance_image_1200w/34f69c256a4e004e5e7658d51a5a3336.jpg,False
aladdin-theater,Mania: The ABBA Tribute,2027-02-16,18:30:00,19:30:00,https://www.etix.com/ticket/p/64714422/maniathe-abba-tribute-portland-aladdin-theater,https://cdn.etix.com/etix/performance-image/performance_image_1200w/3993fe391ba63fcc2531f8cd433dfd12.jpg,True
polaris-hall,Bold Voices: Alberga & Beethoven,2027-02-16,18:00:00,19:00:00,https://www.etix.com/ticket/p/72924617/bold-voicesalberga-beethoven-portland-polaris-hall,https://cdn.etix.com/etix/performance-image/performance_image_1200w/af70ad2695430184fe949c66775fa24b.jpg,False
aladdin-theater,DENNY LOVE: SHOW LOVE TOUR,2027-02-18,18:00:00,19:00:00,https://www.etix.com/ticket/p/73189164/denny-loveshow-love-tour-portland-aladdin-theater,https://cdn.etix.com/etix/performance-image/performance_image_1200w/647c66ee032c60fd66e59972d01fc589.jpg,False
revolution-hall,THE BOUNCING SOULS 'Born To Be Tour' with The Suicide Machines,2027-02-19,18:00:00,19:00:00,https://www.etix.com/ticket/p/65714859/the-bouncing-souls-born-to-be-tourwith-the-suicide-machines-portland-revolution-hall,https://cdn.etix.com/etix/performance-image/performance_image_1200w/b6c99221aa5f5941ddf05cd78920cb0d.jpg,False
aladdin-theater,Ladysmith Black Mambazo,2027-02-21,18:30:00,19:30:00,https://www.etix.com/ticket/p/80770165/ladysmith-black-mambazo-portland-aladdin-theater,https://cdn.etix.com/etix/performance-image/performance_image_1200w/93fd1558878391c600583f76c36f080c.jpg,False
crystal-ballroom,Sylvan Esso,2027-02-22,,20:30:00,https://www.crystalballroompdx.com/events/277205-sylvan-esso/,https://www.crystalballroompdx.com/wp-content/uploads/2026/07/SylvanEsso_26-nBYvRH.jpg,False
crystal-ballroom,Sylvan Esso,2027-02-23,,20:30:00,https://www.crystalballroompdx.com/events/277206-sylvan-esso/,https://www.crystalballroompdx.com/wp-content/uploads/2026/07/SylvanEsso_26-nBYvRH.jpg,False
roseland-theater,Blue October: Foiled 20th Anniversary World Tour,2027-02-27,19:00:00,20:00:00,https://roselandpdx.com/event/blue-october-foiled-20th-anniversary-world-tour/roseland-theater/portland-oregon/,https://roselandpdx.com/wp-content/uploads/2026/05/Portland-OR-square-Blue-October-Image-3.jpg,False
roseland-theater,Blue October: Foiled 20th Anniversary World Tour,2027-02-28,19:00:00,20:00:00,https://roselandpdx.com/event/blue-october-foiled-20th-anniversary-world-tour-2/roseland-theater/portland-oregon/,https://roselandpdx.com/wp-content/uploads/2026/05/Portland-OR-square-Blue-October-Image-3-1.jpg,False
crystal-ballroom,Blondshell,2027-03-05,,20:00:00,https://www.crystalballroompdx.com/events/276943-blondshell/,https://www.crystalballroompdx.com/wp-content/uploads/2026/08/Blondshell26-dZbxZI.jpg,False
aladdin-theater,Michael Kosta,2027-03-06,19:00:00,20:00:00,https://www.etix.com/ticket/p/41256109/michael-kosta-portland-aladdin-theater,https://cdn.etix.com/etix/performance-image/performance_image_1200w/b6d96239ff50a313d52011be26ba102d.jpg,False
revolution-hall,VNV Nation - An Evening With,2027-03-23,,20:00:00,https://www.etix.com/ticket/p/87472996/vnv-nation-an-evening-with-portland-revolution-hall,https://cdn.etix.com/etix/performance-image/performance_image_1200w/58c973b6e0f6e43c6ca5937cdf1f4869.jpg,False
roseland-theater,Wheeler Walker Jr. – Pullin' Out: The Farewell Tour,2027-03-25,19:00:00,20:00:00,https://roselandpdx.com/event/wheeler-walker-jr-pullin-out-the-farewell-tour/roseland-theater/portland-oregon/,https://roselandpdx.com/wp-content/uploads/2026/06/wheeler-walker-jr-pullin-out-the-farewell-tour.jfif,False
revolution-hall,Dan and Peggy Reeder,2027-03-28,19:00:00,20:00:00,https://www.etix.com/ticket/p/45931401/dan-and-peggy-reeder-portland-revolution-hall,https://cdn.etix.com/etix/performance-image/performance_image_1200w/40cfdb8939dad515923ed3d779492a51.jpg,False
crystal-ballroom,The Mary Wallopers,2027-03-30,,20:00:00,https://www.crystalballroompdx.com/events/278187-the-mary-wallopers/,https://www.crystalballroompdx.com/wp-content/uploads/2026/08/TheMaryWallopers_26-S4TCyo.jpg,False
roseland-theater,CRYSTAL METHYD The Enchanted Forest,2027-03-31,19:00:00,20:00:00,https://roselandpdx.com/event/crystal-methyd-the-enchanted-forest/roseland-theater/portland-oregon/,https://roselandpdx.com/wp-content/uploads/2026/07/CrystalMethyd_2027_TicketmasterHeader-3.jpg,False
crystal-ballroom,Nothing But Thieves,2027-04-01,,20:00:00,https://www.crystalballroompdx.com/events/277040-nothing-but-thieves/,,False
aladdin-theater,Iceage,2027-04-03,19:00:00,20:00:00,https://www.etix.com/ticket/p/74384514/iceage-portland-aladdin-theater,https://cdn.etix.com/etix/performance-image/performance_image_1200w/0445b682d652ce31ca5e7438c286937f.jpg,False
polaris-hall,Valencia Grace,2027-04-08,19:00:00,20:00:00,https://www.etix.com/ticket/p/83463584/valencia-grace-portland-polaris-hall,https://cdn.etix.com/etix/performance-image/performance_image_1200w/b1c427b5b82170c24f493c72b6dc415b.jpg,False
aladdin-theater,JUDY COLLINS - SWEET JUDY BLUE EYES: FAREWELL,2027-04-10,19:00:00,20:00:00,https://www.etix.com/ticket/p/74207635/judy-collins-sweet-judy-blue-eyesfarewell-portland-aladdin-theater,https://cdn.etix.com/etix/performance-image/performance_image_1200w/b3e26d6a2b0fce9495011379e4583c38.jpg,False
crystal-ballroom,FKJ,2027-04-20,,20:00:00,https://www.crystalballroompdx.com/events/277132-fkj/,https://www.crystalballroompdx.com/wp-content/uploads/2026/06/FKJ26-jfSi1k.jpg,False
polaris-hall,Coming Together,2027-04-20,18:00:00,19:00:00,https://www.etix.com/ticket/p/87453810/coming-together-portland-polaris-hall,https://cdn.etix.com/etix/performance-image/performance_image_1200w/713faa07e21948ba5c111df14b33c320.jpg,False
crystal-ballroom,The Interrupters,2027-04-27,,19:00:00,https://www.crystalballroompdx.com/events/278583-the-interrupters/,,False
revolution-hall,FRENCH 79 - CLOSE TO THE GIANTS,2027-05-02,19:00:00,20:00:00,https://www.etix.com/ticket/p/45139740/french-79-close-to-the-giants-portland-revolution-hall,https://cdn.etix.com/etix/performance-image/performance_image_1200w/ee93e34d67b4082da83c86fb0d84827b.jpg,False
crystal-ballroom,Saint Levant,2027-05-09,,20:00:00,https://www.crystalballroompdx.com/events/277966-saint-levant/,https://www.crystalballroompdx.com/wp-content/uploads/2026/07/SaintLevant26-NSKjoZ.jpg,False
polaris-hall,Jealousy To Collaboration,2027-05-17,18:00:00,19:00:00,https://www.etix.com/ticket/p/55187444/jealousy-to-collaboration-portland-polaris-hall,https://cdn.etix.com/etix/performance-image/performance_image_1200w/6f6e06df35fb418811a0ef4ac8b6cbe2.jpg,False
revolution-hall,The Airborne Toxic Event - The Way Home 20 Year Anniversary Tour,2027-06-11,19:00:00,20:00:00,https://www.etix.com/ticket/p/80964016/the-airborne-toxic-event-the-way-home-20-year-anniversary-tour-portland-revolution-hall,https://cdn.etix.com/etix/performance-image/performance_image_1200w/94514bb243b8e7c65050477fd3bd585a.jpg,False
