neighborhood,month_start,make,model,stolen_count
Alameda,2025-01-01,Dodge,Dodge Ram 3500,1
Alameda,2025-03-01,Mercedes-Benz,Mercedes-Benz GL350,1
Alameda,2025-03-01,Chevrolet,Chevrolet Suburban,1
Alameda,2025-03-01,Kia Motors Corp,"Kia Motors Corp Forte, Forte Koup",1
Alameda,2025-05-01,Kia Motors Corp,Kia Motors Corp Optima,1
Alameda,2025-05-01,Hyundai,Hyundai Santa Fe,1
Alameda,2025-09-01,Nissan,Nissan Sentra,1
Alameda,2025-09-01,Dodge,Dodge Challenger,1
Alameda,2025-10-01,GMC,GMC Acadia,1
Alameda,2025-10-01,Kia Motors Corp,Kia Motors Corp Sportage,1
Alameda,2025-11-01,Subaru,Subaru Forester,1
Alameda,2025-12-01,Honda,"Honda Accord, Accord Crosstour",1
Arbor Lodge,2025-01-01,Dodge,Dodge Durango,1
Arbor Lodge,2025-01-01,Ford,Ford F350,1
Arbor Lodge,2025-01-01,Chevrolet,Chevrolet Silverado,1
Arbor Lodge,2025-01-01,Hyundai,Hyundai Sonata,1
Arbor Lodge,2025-01-01,Ford,Ford F250,1
Arbor Lodge,2025-02-01,Volkswagen,Volkswagen GTI,1
Arbor Lodge,2025-02-01,Subaru,"Subaru Legacy, Legacy Outback",1
Arbor Lodge,2025-02-01,Toyota,Toyota Tacoma,1
Arbor Lodge,2025-02-01,Toyota,"Toyota Corolla, Corolla IM",1
Arbor Lodge,2025-02-01,Subaru,Subaru Forester,1
Arbor Lodge,2025-03-01,Chevrolet,Chevrolet Silverado,2
Arbor Lodge,2025-03-01,Kia Motors Corp,Kia Motors Corp Soul,1
Arbor Lodge,2025-04-01,Ford,Ford Escape,1
Arbor Lodge,2025-04-01,Hyundai,Hyundai Sonata,1
Arbor Lodge,2025-05-01,Oldsmobile,Oldsmobile Alero,1
Arbor Lodge,2025-05-01,Kia Motors Corp,Kia Motors Corp Optima,1
Arbor Lodge,2025-05-01,BMW,BMW Motorcycle,1
Arbor Lodge,2025-05-01,Kia Motors Corp,Kia Motors Corp Rio,1
Arbor Lodge,2025-06-01,Dodge,Dodge Nitro,1
Arbor Lodge,2025-06-01,Subaru,Subaru Forester,1
Arbor Lodge,2025-07-01,Kia Motors Corp,Kia Motors Corp Soul,1
Arbor Lodge,2025-07-01,Honda,"Honda Accord, Accord Crosstour",1
Arbor Lodge,2025-07-01,Subaru,"Subaru Impreza, Impreza Outback",1
Arbor Lodge,2025-07-01,Honda,Honda CRV,1
Arbor Lodge,2025-08-01,Kia Motors Corp,Kia Motors Corp Soul,2
Arbor Lodge,2025-08-01,GMC,GMC Yukon,1
Arbor Lodge,2025-08-01,Dodge,Dodge Ram 1500,1
Arbor Lodge,2025-08-01,Chevrolet,Chevrolet Impala,1
Arbor Lodge,2025-09-01,Ford,Ford Transit,1
Arbor Lodge,2025-10-01,Audi,Audi Allroad,1
Arbor Lodge,2025-10-01,Honda,Honda CRV,1
Arbor Lodge,2025-10-01,Honda,Honda Motorcycle,1
Arbor Lodge,2025-10-01,Chevrolet,Chevrolet Silverado,1
Arbor Lodge,2025-10-01,Ford,Ford Explorer,1
Arbor Lodge,2025-10-01,Ford,Ford F150,1
Arbor Lodge,2025-11-01,Hyundai,Hyundai Accent,1
Arbor Lodge,2025-11-01,Toyota,"Toyota Corolla, Corolla IM",1
Arbor Lodge,2025-12-01,BMW,"BMW X5, X5M",1
Arbor Lodge,2025-12-01,Kia Motors Corp,Unknown Kia Motors Corp Model,1
Arbor Lodge,2025-12-01,Subaru,Subaru Forester,1
Ardenwald,2025-09-01,Acura,Acura Integra,1
Ardenwald,2025-12-01,Ford,Ford Econoline E150,1
Argay,2025-01-01,Toyota,"Toyota Corolla, Corolla IM",1
Argay,2025-01-01,Toyota,Toyota RAV4,1
Argay,2025-01-01,Kia Motors Corp,Kia Motors Corp Optima,1
Argay,2025-01-01,Kia Motors Corp,Kia Motors Corp Soul,1
Argay,2025-02-01,Ford,Ford Econoline E450,1
Argay,2025-02-01,Chevrolet,Chevrolet TrailBlazer,1
Argay,2025-03-01,Chevrolet,Chevrolet Malibu,1
Argay,2025-04-01,Volkswagen,Volkswagen Tiguan,1
Argay,2025-04-01,Chevrolet,Chevrolet C/K 1500,1
Argay,2025-04-01,Ford,Ford F250,1
Argay,2025-04-01,Jeep,Jeep Wrangler,1
Argay,2025-05-01,Honda,"Honda Civic, CRX, Del Sol",1
Argay,2025-05-01,Ford,Ford Ranger,1
Argay,2025-05-01,Jeep,Jeep Wrangler,1
Argay,2025-06-01,Mercedes-Benz,Mercedes-Benz C280,1
Argay,2025-06-01,Subaru,"Subaru Legacy, Legacy Outback",1
Argay,2025-06-01,Ford,Ford Escape,1
Argay,2025-06-01,Honda,"Honda Accord, Accord Crosstour",1
Argay,2025-06-01,Ford,Ford Mustang,1
Argay,2025-06-01,Kia Motors Corp,Kia Motors Corp Rio,1
Argay,2025-07-01,Ford,Ford Econoline E150,2
Argay,2025-07-01,Kia Motors Corp,"Kia Motors Corp Forte, Forte Koup",1
Argay,2025-07-01,Honda,"Honda Civic, CRX, Del Sol",1
Argay,2025-07-01,Kia Motors Corp,Kia Motors Corp Sorrento,1
Argay,2025-08-01,Hyundai,Hyundai Elantra,1
Argay,2025-08-01,Ford,Ford Transit,1
Argay,2025-09-01,Jeep,Jeep Cherokee,1
Argay,2025-09-01,Acura,Acura Integra,1
Argay,2025-09-01,Kia Motors Corp,Kia Motors Corp Sportage,1
Argay,2025-09-01,Ford,Ford F150,1
Argay,2025-10-01,Ford,Ford F550,1
Argay,2025-10-01,Hyundai,Hyundai Elantra,1
Argay,2025-11-01,Suzuki,Unknown Suzuki Model,1
Argay,2025-11-01,Freightliner Corp,Unknown Freightliner Corp Model,1
Argay,2025-11-01,Hyundai,Hyundai Accent,1
Argay,2025-11-01,Isuzu,Isuzu Truck,1
Argay,2025-11-01,Volvo,Volvo Truck,1
Argay,2025-11-01,Toyota,"Toyota Corolla, Corolla IM",1
Argay,2025-12-01,Scion,Scion XD,1
Argay,2025-12-01,Kia Motors Corp,Kia Motors Corp Optima,1
Argay,2025-12-01,Honda,"Honda Civic, CRX, Del Sol",1
Argay,2025-12-01,Subaru,"Subaru Impreza, Impreza Outback",1
Argay,2025-12-01,Kia Motors Corp,Kia Motors Corp Soul,1
Arnold Creek,2025-07-01,Kia Motors Corp,Kia Motors Corp Sportage,1
Arnold Creek,2025-08-01,BMW,BMW X1,1
Ashcreek,2025-01-01,Honda,"Honda Civic, CRX, Del Sol",1
Ashcreek,2025-01-01,Ford,Ford Explorer,1
Ashcreek,2025-01-01,GMC,GMC Yukon,1
Ashcreek,2025-01-01,Nissan,Nissan Versa,1
Ashcreek,2025-02-01,Chevrolet,Chevrolet Silverado,1
